rank,ticker,name,industry_labels,market_cap_billion,er4,er12,er36,er_mean,status
1,US.PANW,Palo Alto Networks,软件基础设施,288.50185,0.09176177555219722,0.05311753085215365,0.34906347248301595,0.1646475929624556,入选
2,US.DELL,戴尔科技,计算机硬件,253.65650551757997,-0.09461078778126297,-0.0691459658640231,0.3164518266123231,0.050898357655678995,观察
3,US.AMAT,应用材料,半导体设备与材料,445.3556630699,-0.06339283055485256,-0.20560560423107943,0.2885622496533806,0.0065212716224828755,观察
4,US.CRWD,CrowdStrike,软件基础设施,207.4805108928,0.09418085958032252,0.08397375960612696,0.21906284017613498,0.13240581978752816,入选
5,US.FTNT,飞塔信息,软件基础设施,117.79520830498,0.026363606696974684,0.02136978707819015,0.19107176616547106,0.07960171998021197,入选
6,US.KLAC,科磊,半导体设备与材料,286.5575928177,-0.046876247382342195,-0.2251221504565072,0.15227746404907094,-0.039906977929926146,观察
7,US.APH,安费诺,电子元件,188.3981029073,-0.03161563955774449,-0.09291551009664345,0.15196779744356514,0.009145549263059069,观察
8,US.SPGI,标普全球,金融数据与证券交易所,135.38448,0.06804204445779816,0.17045690319179707,0.1512422162346816,0.12991372129475895,入选
9,US.GE,GE航天航空,航空航天与国防,358.71648761949,-0.03208451298558124,-0.08683510627150492,0.1336429051184036,0.004907761953772479,观察
10,US.MU,美光科技,半导体,963.5982364332,-0.12316242463784755,-0.26803218389621675,0.12685383335717826,-0.08811359172562867,观察
